ID	gid	aid	pid	iv	m	dv
1	10	11	12	1	5	5
2	10	11	13	1	5	5
3	10	11	14	1	5	5
4	10	11	15	1	5	5
5	10	12	11	2	4	3
6	10	12	13	2	3	3
7	10	12	14	2	3	3
8	10	12	15	1	2	3
9	10	13	11	2	3	3
10	10	13	12	2	2	3
11	10	13	14	2	2	3
12	10	13	15	1	1	3
13	10	14	11	2	3	4
14	10	14	12	2	3	4
15	10	14	13	2	3	4
16	10	14	15	2	3	4
17	10	15	11	1	2	4
18	10	15	12	1	1	3
19	10	15	13	2	1	2
20	10	15	14	2	1	3
21	20	21	22	3	1	5
22	20	21	23	3	1	4
23	20	21	24	2	3	3
24	20	21	25	1	1	2
25	20	21	26	3	1	4
26	20	22	21	2	2	3
27	20	22	23	2	2	3
28	20	22	24	2	2	3
29	20	22	25	2	2	3
30	20	22	26	2	2	3
31	20	23	21	2	2	3
32	20	23	22	2	2	3
33	20	23	24	2	2	3
34	20	23	25	2	2	3
35	20	23	26	2	2	3
36	20	24	21	1	3	3
37	20	24	22	3	1	2
38	20	24	23	2	1	1
39	20	24	25	2	1	2
40	20	24	26	2	1	2
41	20	25	21	2	4	4
42	20	25	22	1	3	4
43	20	25	23	1	3	4
44	20	25	24	1	3	4
45	20	25	26	1	1	4
46	20	26	21	3	2	3
47	20	26	22	4	1	3
48	20	26	23	3	3	4
49	20	26	24	4	1	4
50	20	26	25	2	1	3
51	30	31	32	2	3	3
52	30	31	33	1	4	4
53	30	31	34	2	4	4
54	30	31	35	2	3	3
55	30	31	36	2	3	3
56	30	32	31	3	2	3
57	30	32	33	3	3	3
58	30	32	34	3	3	3
59	30	32	35	2	4	3
60	30	32	36	2	3	2
61	30	33	31	2	3	3
62	30	33	32	3	1	1
63	30	33	34	2	2	3
64	30	33	35	1	1	2
65	30	33	36	1	1	1
66	30	34	31	1	4	4
67	30	34	32	1	1	2
68	30	34	33	1	5	3
69	30	34	35	1	3	2
70	30	34	36	1	3	2
71	30	35	31	2	4	4
72	30	35	32	2	3	4
73	30	35	33	2	4	4
74	30	35	34	2	3	4
75	30	35	36	2	4	4
76	30	36	31	1	3	4
77	30	36	32	1	3	4
78	30	36	33	1	3	4
79	30	36	34	1	3	4
80	30	36	35	1	5	4
81	40	41	42	1	4	4
82	40	41	43	2	1	3
83	40	41	44	2	1	3
84	40	41	45	2	1	3
85	40	41	46	2	3	3
86	40	42	41	1	5	5
87	40	42	43	2	1	4
88	40	42	44	2	1	4
89	40	42	45	1	1	4
90	40	42	46	1	1	4
91	40	43	41	2	1	3
92	40	43	42	1	1	3
93	40	43	44	2	3	3
94	40	43	45	1	3	3
95	40	43	46	1	1	3
96	40	44	41	2	4	4
97	40	44	42	1	3	4
98	40	44	43	1	3	4
99	40	44	45	1	3	4
100	40	44	46	1	3	4
101	40	45	41	2	3	3
102	40	45	42	2	3	3
103	40	45	43	2	3	3
104	40	45	44	2	3	3
105	40	45	46	2	3	3
106	40	46	41	2	2	4
107	40	46	42	2	3	4
108	40	46	43	2	3	4
109	40	46	44	2	2	4
110	40	46	45	2	2	4
111	50	51	52	2	3	4
112	50	51	53	2	3	4
113	50	51	54	2	3	5
114	50	51	55	2	2	5
115	50	51	56	1	5	5
116	50	52	51	1	5	3
117	50	52	53	1	5	4
118	50	52	54	1	5	3
119	50	52	55	1	4	3
120	50	52	56	1	5	3
121	50	53	51	2	4	4
122	50	53	52	2	4	4
123	50	53	54	2	4	4
124	50	53	55	2	4	4
125	50	53	56	2	4	4
126	50	54	51	2	3	3
127	50	54	52	2	4	4
128	50	54	53	2	3	4
129	50	54	55	2	3	4
130	50	54	56	2	3	4
131	50	55	51	2	1	2
132	50	55	52	2	2	2
133	50	55	53	2	2	3
134	50	55	54	2	2	2
135	50	55	56	2	2	2
136	50	56	51	2	3	3
137	50	56	52	2	2	3
138	50	56	53	2	2	3
139	50	56	54	4	2	2
140	50	56	55	2	3	3
141	60	61	62	2	3	3
142	60	61	63	2	2	3
143	60	61	64	2	2	2
144	60	61	65	2	2	2
145	60	61	66	2	2	2
146	60	62	61	1	5	4
147	60	62	63	1	3	4
148	60	62	64	1	1	3
149	60	62	65	1	1	3
150	60	62	66	1	2	3
151	60	63	61	3	2	3
152	60	63	62	3	1	3
153	60	63	64	3	1	3
154	60	63	65	3	1	3
155	60	63	66	3	1	3
156	60	64	61	1	1	3
157	60	64	62	1	2	4
158	60	64	63	1	3	4
159	60	64	65	1	3	4
160	60	64	66	1	3	4
161	60	65	61	2	4	3
162	60	65	62	2	2	3
163	60	65	63	3	1	3
164	60	65	64	3	1	3
165	60	65	66	3	1	3
166	60	66	61	2	1	2
167	60	66	62	3	3	2
168	60	66	63	3	1	2
169	60	66	64	1	1	2
170	60	66	65	1	1	2
171	70	71	72	3	3	4
172	70	71	73	1	4	4
173	70	71	74	2	3	4
174	70	71	75	2	2	4
175	70	71	76	2	2	4
176	70	72	71	2	4	3
177	70	72	73	3	1	3
178	70	72	74	3	1	3
179	70	72	75	3	1	3
180	70	72	76	3	1	3
181	70	73	71	1	5	5
182	70	73	72	1	1	3
183	70	73	74	2	2	3
184	70	73	75	2	1	2
185	70	73	76	3	1	2
186	70	74	71	1	5	4
187	70	74	72	2	3	3
188	70	74	73	2	5	3
189	70	74	75	2	3	3
190	70	74	76	1	2	3
191	70	75	71	2	3	3
192	70	75	72	2	3	3
193	70	75	73	2	2	4
194	70	75	74	2	3	4
195	70	75	76	2	3	3
196	70	76	71	3	1	4
197	70	76	72	2	2	4
198	70	76	73	1	1	4
199	70	76	74	1	2	4
200	70	76	75	1	2	5
201	80	81	82	2	3	2
202	80	81	83	1	4	4
203	80	81	84	2	2	2
204	80	81	85	1	2	2
205	80	81	86	2	3	2
206	80	82	81	2	4	4
207	80	82	83	2	4	4
208	80	82	84	2	3	4
